Angstroms, e1, e2, n, k, Absorption 
5090, 5.440412e+00, 7.369934e+00, 2.701932e+00, 1.363827e+00, 3.045826e-02 
5100, 5.440121e+00, 7.372272e+00, 2.702063e+00, 1.364193e+00, 3.040896e-02 
5110, 5.439827e+00, 7.374663e+00, 2.702198e+00, 1.364568e+00, 3.036005e-02 
5120, 5.439531e+00, 7.377106e+00, 2.702336e+00, 1.364950e+00, 3.031155e-02 
5130, 5.439234e+00, 7.379601e+00, 2.702478e+00, 1.365340e+00, 3.026344e-02 
5140, 5.438935e+00, 7.382148e+00, 2.702623e+00, 1.365737e+00, 3.021572e-02 
5150, 5.438635e+00, 7.384745e+00, 2.702773e+00, 1.366143e+00, 3.016840e-02 
5160, 5.438333e+00, 7.387393e+00, 2.702925e+00, 1.366555e+00, 3.012145e-02 
5170, 5.438029e+00, 7.390091e+00, 2.703082e+00, 1.366975e+00, 3.007489e-02 
5180, 5.437725e+00, 7.392839e+00, 2.703242e+00, 1.367403e+00, 3.002870e-02 
5190, 5.437419e+00, 7.395635e+00, 2.703405e+00, 1.367837e+00, 2.998288e-02 
5200, 5.437113e+00, 7.398480e+00, 2.703572e+00, 1.368279e+00, 2.993743e-02 
5210, 5.436806e+00, 7.401374e+00, 2.703742e+00, 1.368728e+00, 2.989235e-02 
5220, 5.436497e+00, 7.404316e+00, 2.703916e+00, 1.369184e+00, 2.984763e-02 
5230, 5.436189e+00, 7.407304e+00, 2.704093e+00, 1.369647e+00, 2.980326e-02 
5240, 5.435880e+00, 7.410340e+00, 2.704274e+00, 1.370116e+00, 2.975925e-02 
5250, 5.435570e+00, 7.413423e+00, 2.704458e+00, 1.370593e+00, 2.971558e-02 
5260, 5.435260e+00, 7.416552e+00, 2.704646e+00, 1.371076e+00, 2.967227e-02 
